# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cpu/mem-loads,ldlat=30/P'
# Total weight : 331385
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access             Symbol                                 Shared Object          Data Symbol                                Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency
# ........  ............  ............  ........................  .....................................  .....................  .........................................  .......................  ............  ......................  ......  ..........  ...................
#
     0.23%            20  38            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.22%            18  41            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.22%             1  732           LFB/MAB or LFB/MAB hit    [k] __switch_to_asm                    [kernel.vmlinux]       [k] 0xffffb3ee401a7e20                     [unknown]                None          L1 or L2 hit            No       N/A        0                  
     0.22%            22  33            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.22%            19  38            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.22%            18  40            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.22%            21  34            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.21%            15  47            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.21%            18  39            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.21%            17  41            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.21%            15  46            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.20%            16  41            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.19%            14  45            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.19%            14  45            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.19%            14  45            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.19%            13  48            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.18%            17  36            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.18%            18  34            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.18%            16  38            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.18%            13  45            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.17%             1  579           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.17%            14  41            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.17%             1  572           L3 or L3 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               HitM          L1 or L2 hit            No       N/A        0                  
     0.17%            13  44            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.17%            13  44            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.17%            12  47            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.17%            14  40            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.16%             1  539           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
